"","Survived","Pclass","Sex","Age"
"160","0","3","male",NA
"161","0","3","male",44
"162","1","2","female",40
"163","0","3","male",26
"164","0","3","male",17
"165","0","3","male",1
"166","1","3","male",9
"167","1","1","female",NA
"168","0","3","female",45
"169","0","1","male",NA
"170","0","3","male",28
"171","0","1","male",61
"172","0","3","male",4
"173","1","3","female",1
"174","0","3","male",21
"175","0","1","male",56
"176","0","3","male",18
"177","0","3","male",NA
"178","0","1","female",50
"179","0","2","male",30
"180","0","3","male",36
"181","0","3","female",NA
"182","0","2","male",NA
"183","0","3","male",9
"184","1","2","male",1
"185","1","3","female",4
"186","0","1","male",NA
"187","1","3","female",NA
"188","1","1","male",45
"189","0","3","male",40
"190","0","3","male",36
"191","1","2","female",32
"192","0","2","male",19
"193","1","3","female",19
"194","1","2","male",3
"195","1","1","female",44
"196","1","1","female",58
"197","0","3","male",NA
"198","0","3","male",42
"199","1","3","female",NA
"200","0","2","female",24
"201","0","3","male",28
"202","0","3","male",NA
"203","0","3","male",34
"204","0","3","male",45.5
"205","1","3","male",18
"206","0","3","female",2
"207","0","3","male",32
"208","1","3","male",26
"209","1","3","female",16
"210","1","1","male",40
"211","0","3","male",24
"212","1","2","female",35
"213","0","3","male",22
"214","0","2","male",30
"215","0","3","male",NA
"216","1","1","female",31
"217","1","3","female",27
"218","0","2","male",42
"219","1","1","female",32
"220","0","2","male",30
"221","1","3","male",16
"222","0","2","male",27
"223","0","3","male",51
"224","0","3","male",NA
"225","1","1","male",38
"226","0","3","male",22
"227","1","2","male",19
"228","0","3","male",20.5
"229","0","2","male",18
"230","0","3","female",NA
"231","1","1","female",35
"232","0","3","male",29
"233","0","2","male",59
"234","1","3","female",5
"235","0","2","male",24
"236","0","3","female",NA
"237","0","2","male",44
"238","1","2","female",8
"239","0","2","male",19
"240","0","2","male",33
"241","0","3","female",NA
"242","1","3","female",NA
"243","0","2","male",29
"244","0","3","male",22
"245","0","3","male",30
"246","0","1","male",44
"247","0","3","female",25
"248","1","2","female",24
"249","1","1","male",37
"250","0","2","male",54
"251","0","3","male",NA
"252","0","3","female",29
"253","0","1","male",62
"254","0","3","male",30
"255","0","3","female",41
"256","1","3","female",29
"257","1","1","female",NA
"258","1","1","female",30
"259","1","1","female",35
"260","1","2","female",50
"261","0","3","male",NA
"262","1","3","male",3
"263","0","1","male",52
"264","0","1","male",40
"265","0","3","female",NA
"266","0","2","male",36
"267","0","3","male",16
"268","1","3","male",25
"269","1","1","female",58
"270","1","1","female",35
"271","0","1","male",NA
"272","1","3","male",25
"273","1","2","female",41
"274","0","1","male",37
"275","1","3","female",NA
"276","1","1","female",63
"277","0","3","female",45
"278","0","2","male",NA
"279","0","3","male",7
"280","1","3","female",35
"281","0","3","male",65
"282","0","3","male",28
"283","0","3","male",16
"284","1","3","male",19
"285","0","1","male",NA
"286","0","3","male",33
"287","1","3","male",30
"288","0","3","male",22
"289","1","2","male",42
"290","1","3","female",22
"291","1","1","female",26
"292","1","1","female",19
"293","0","2","male",36
"294","0","3","female",24
"295","0","3","male",24
"296","0","1","male",NA
"297","0","3","male",23.5
"298","0","1","female",2
"299","1","1","male",NA
"300","1","1","female",50
"301","1","3","female",NA
"302","1","3","male",NA
"303","0","3","male",19
"304","1","2","female",NA
"305","0","3","male",NA
"306","1","1","male",0.92
"307","1","1","female",NA
"308","1","1","female",17
"309","0","2","male",30
"310","1","1","female",30
"311","1","1","female",24
"312","1","1","female",18
"313","0","2","female",26
"314","0","3","male",28
"315","0","2","male",43
"316","1","3","female",26
"317","1","2","female",24
"318","0","2","male",54
"319","1","1","female",31
"320","1","1","female",40
"321","0","3","male",22
"322","0","3","male",27
"323","1","2","female",30
"324","1","2","female",22
"325","0","3","male",NA
"326","1","1","female",36
"327","0","3","male",61
"328","1","2","female",36
"329","1","3","female",31
"330","1","1","female",16
"331","1","3","female",NA
"332","0","1","male",45.5
"333","0","1","male",38
"334","0","3","male",16
"335","1","1","female",NA
"336","0","3","male",NA
"337","0","1","male",29
"338","1","1","female",41
"339","1","3","male",45
"340","0","1","male",45
"341","1","2","male",2
"342","1","1","female",24
"343","0","2","male",28
"344","0","2","male",25
"345","0","2","male",36
"346","1","2","female",24
"347","1","2","female",40
"348","1","3","female",NA
"349","1","3","male",3
"350","0","3","male",42
"351","0","3","male",23
"352","0","1","male",NA
"353","0","3","male",15
"354","0","3","male",25
"355","0","3","male",NA
"356","0","3","male",28
"357","1","1","female",22
"358","0","2","female",38
"359","1","3","female",NA
"360","1","3","female",NA
"361","0","3","male",40
"362","0","2","male",29
"363","0","3","female",45
"364","0","3","male",35
"365","0","3","male",NA
"366","0","3","male",30
"367","1","1","female",60
"368","1","3","female",NA
"369","1","3","female",NA
"370","1","1","female",24
"371","1","1","male",25
"372","0","3","male",18
"373","0","3","male",19
"374","0","1","male",22
"375","0","3","female",3
"376","1","1","female",NA
"377","1","3","female",22
"378","0","1","male",27
"379","0","3","male",20
"380","0","3","male",19
"381","1","1","female",42
"382","1","3","female",1
"383","0","3","male",32
"384","1","1","female",35
"385","0","3","male",NA
"386","0","2","male",18
"387","0","3","male",1
"388","1","2","female",36
"389","0","3","male",NA
"390","1","2","female",17
"391","1","1","male",36
"392","1","3","male",21
"393","0","3","male",28
"394","1","1","female",23
"395","1","3","female",24
"396","0","3","male",22
"397","0","3","female",31
"398","0","2","male",46
"399","0","2","male",23
"400","1","2","female",28
"401","1","3","male",39
"402","0","3","male",26
"403","0","3","female",21
"404","0","3","male",28
"405","0","3","female",20
"406","0","2","male",34
"407","0","3","male",51
"408","1","2","male",3
"409","0","3","male",21
"410","0","3","female",NA
"411","0","3","male",NA
"412","0","3","male",NA
"413","1","1","female",33
"414","0","2","male",NA
"415","1","3","male",44
"416","0","3","female",NA
"417","1","2","female",34
"418","1","2","female",18
"419","0","2","male",30
"420","0","3","female",10
"421","0","3","male",NA
"422","0","3","male",21
"423","0","3","male",29
"424","0","3","female",28
"425","0","3","male",18
"426","0","3","male",NA
"427","1","2","female",28
"428","1","2","female",19
"429","0","3","male",NA
"430","1","3","male",32
"431","1","1","male",28
"432","1","3","female",NA
"433","1","2","female",42
"434","0","3","male",17
"435","0","1","male",50
"436","1","1","female",14
"437","0","3","female",21
"438","1","2","female",24
"439","0","1","male",64
"440","0","2","male",31
"441","1","2","female",45
"442","0","3","male",20
"443","0","3","male",25
"444","1","2","female",28
"445","1","3","male",NA
"446","1","1","male",4
"447","1","2","female",13
"448","1","1","male",34
"449","1","3","female",5
"450","1","1","male",52
"451","0","2","male",36
"452","0","3","male",NA
"453","0","1","male",30
"454","1","1","male",49
"455","0","3","male",NA
"456","1","3","male",29
"457","0","1","male",65
"458","1","1","female",NA
"459","1","2","female",50
"460","0","3","male",NA
"461","1","1","male",48
"462","0","3","male",34
"463","0","1","male",47
"464","0","2","male",48
"465","0","3","male",NA
"466","0","3","male",38
"467","0","2","male",NA
"468","0","1","male",56
"469","0","3","male",NA
"470","1","3","female",0.75
"471","0","3","male",NA
"472","0","3","male",38
"473","1","2","female",33
"474","1","2","female",23
"475","0","3","female",22
"476","0","1","male",NA
"477","0","2","male",34
"478","0","3","male",29
"479","0","3","male",22
"480","1","3","female",2
"481","0","3","male",9
"482","0","2","male",NA
"483","0","3","male",50
"484","1","3","female",63
"485","1","1","male",25
"486","0","3","female",NA
"487","1","1","female",35
"488","0","1","male",58
"489","0","3","male",30
"490","1","3","male",9
"491","0","3","male",NA
"492","0","3","male",21
"493","0","1","male",55
"494","0","1","male",71
"495","0","3","male",21
"496","0","3","male",NA
"497","1","1","female",54
"498","0","3","male",NA
"499","0","1","female",25
"500","0","3","male",24
"501","0","3","male",17
"502","0","3","female",21
"503","0","3","female",NA
"504","0","3","female",37
"505","1","1","female",16
"506","0","1","male",18
"507","1","2","female",33
"508","1","1","male",NA
"509","0","3","male",28
"510","1","3","male",26
"511","1","3","male",29
"512","0","3","male",NA
"513","1","1","male",36
"514","1","1","female",54
"515","0","3","male",24
"516","0","1","male",47
"517","1","2","female",34
"518","0","3","male",NA
"519","1","2","female",36
"520","0","3","male",32
"521","1","1","female",30
"522","0","3","male",22
"523","0","3","male",NA
"524","1","1","female",44
"525","0","3","male",NA
"526","0","3","male",40.5
"527","1","2","female",50
"528","0","1","male",NA
"529","0","3","male",39
"530","0","2","male",23
"531","1","2","female",2
"532","0","3","male",NA
"533","0","3","male",17
"534","1","3","female",NA
"535","0","3","female",30
"536","1","2","female",7
"537","0","1","male",45
"538","1","1","female",30
"539","0","3","male",NA
"540","1","1","female",22
"541","1","1","female",36
"542","0","3","female",9
"543","0","3","female",11
"544","1","2","male",32
"545","0","1","male",50
"546","0","1","male",64
"547","1","2","female",19
"548","1","2","male",NA
"549","0","3","male",33
"550","1","2","male",8
"551","1","1","male",17
"552","0","2","male",27
"553","0","3","male",NA
"554","1","3","male",22
"555","1","3","female",22
"556","0","1","male",62
"557","1","1","female",48
"558","0","1","male",NA
"559","1","1","female",39
"560","1","3","female",36
"561","0","3","male",NA
"562","0","3","male",40
"563","0","2","male",28
"564","0","3","male",NA
"565","0","3","female",NA
"566","0","3","male",24
"567","0","3","male",19
"568","0","3","female",29
"569","0","3","male",NA
"570","1","3","male",32
"571","1","2","male",62
"572","1","1","female",53
"573","1","1","male",36
"574","1","3","female",NA
"575","0","3","male",16
"576","0","3","male",19
"577","1","2","female",34
"578","1","1","female",39
"579","0","3","female",NA
"580","1","3","male",32
"581","1","2","female",25
"582","1","1","female",39
"583","0","2","male",54
"584","0","1","male",36
"585","0","3","male",NA
"586","1","1","female",18
"587","0","2","male",47
"588","1","1","male",60
"589","0","3","male",22
"590","0","3","male",NA
"591","0","3","male",35
"592","1","1","female",52
"593","0","3","male",47
"594","0","3","female",NA
"595","0","2","male",37
"596","0","3","male",36
"597","1","2","female",NA
"598","0","3","male",49
"599","0","3","male",NA
"600","1","1","male",49
"601","1","2","female",24
"602","0","3","male",NA
"603","0","1","male",NA
"604","0","3","male",44
"605","1","1","male",35
"606","0","3","male",36
"607","0","3","male",30
"608","1","1","male",27
"609","1","2","female",22
"610","1","1","female",40
"611","0","3","female",39
"612","0","3","male",NA
"613","1","3","female",NA
"614","0","3","male",NA
"615","0","3","male",35
"616","1","2","female",24
"617","0","3","male",34
"618","0","3","female",26
"619","1","2","female",4
"620","0","2","male",26
"621","0","3","male",27
"622","1","1","male",42
"623","1","3","male",20
"624","0","3","male",21
"625","0","3","male",21
"626","0","1","male",61
"627","0","2","male",57
"628","1","1","female",21
"629","0","3","male",26
"630","0","3","male",NA
"631","1","1","male",80
"632","0","3","male",51
"633","1","1","male",32
"634","0","1","male",NA
"635","0","3","female",9
"636","1","2","female",28
"637","0","3","male",32
"638","0","2","male",31
"639","0","3","female",41
"640","0","3","male",NA
"641","0","3","male",20
"642","1","1","female",24
"643","0","3","female",2
"644","1","3","male",NA
"645","1","3","female",0.75
"646","1","1","male",48
"647","0","3","male",19
"648","1","1","male",56
"649","0","3","male",NA
"650","1","3","female",23
"651","0","3","male",NA
"652","1","2","female",18
"653","0","3","male",21
"654","1","3","female",NA
"655","0","3","female",18
"656","0","2","male",24
"657","0","3","male",NA
"658","0","3","female",32
"659","0","2","male",23
"660","0","1","male",58
"661","1","1","male",50
"662","0","3","male",40
"663","0","1","male",47
"664","0","3","male",36
"665","1","3","male",20
"666","0","2","male",32
"667","0","2","male",25
"668","0","3","male",NA
"669","0","3","male",43
"670","1","1","female",NA
"671","1","2","female",40
"672","0","1","male",31
"673","0","2","male",70
"674","1","2","male",31
"675","0","2","male",NA
"676","0","3","male",18
"677","0","3","male",24.5
"678","1","3","female",18
"679","0","3","female",43
"680","1","1","male",36
"681","0","3","female",NA
"682","1","1","male",27
"683","0","3","male",20
"684","0","3","male",14
"685","0","2","male",60
"686","0","2","male",25
"687","0","3","male",14
"688","0","3","male",19
"689","0","3","male",18
"690","1","1","female",15
"691","1","1","male",31
"692","1","3","female",4
"693","1","3","male",NA
"694","0","3","male",25
"695","0","1","male",60
"696","0","2","male",52
"697","0","3","male",44
"698","1","3","female",NA
"699","0","1","male",49
"700","0","3","male",42
"701","1","1","female",18
"702","1","1","male",35
"703","0","3","female",18
"704","0","3","male",25
"705","0","3","male",26
"706","0","2","male",39
"707","1","2","female",45
"708","1","1","male",42
"709","1","1","female",22
"710","1","3","male",NA
"711","1","1","female",24
"712","0","1","male",NA
"713","1","1","male",48
"714","0","3","male",29
"715","0","2","male",52
"716","0","3","male",19
"717","1","1","female",38
"718","1","2","female",27
"719","0","3","male",NA
"720","0","3","male",33
"721","1","2","female",6
"722","0","3","male",17
"723","0","2","male",34
"724","0","2","male",50
"725","1","1","male",27
"726","0","3","male",20
"727","1","2","female",30
"728","1","3","female",NA
"729","0","2","male",25
"730","0","3","female",25
"731","1","1","female",29
"732","0","3","male",11
"733","0","2","male",NA
"734","0","2","male",23
"735","0","2","male",23
"736","0","3","male",28.5
"737","0","3","female",48
"738","1","1","male",35
"739","0","3","male",NA
"740","0","3","male",NA
"741","1","1","male",NA
"742","0","1","male",36
"743","1","1","female",21
"744","0","3","male",24
"745","1","3","male",31
"746","0","1","male",70
"747","0","3","male",16
"748","1","2","female",30
"749","0","1","male",19
"750","0","3","male",31
"751","1","2","female",4
"752","1","3","male",6
"753","0","3","male",33
"754","0","3","male",23
"755","1","2","female",48
"756","1","2","male",0.67
"757","0","3","male",28
"758","0","2","male",18
"759","0","3","male",34
"760","1","1","female",33
"761","0","3","male",NA
"762","0","3","male",41
"763","1","3","male",20
"764","1","1","female",36
"765","0","3","male",16
"766","1","1","female",51
"767","0","1","male",NA
"768","0","3","female",30.5
"769","0","3","male",NA
"770","0","3","male",32
"771","0","3","male",24
"772","0","3","male",48
"773","0","2","female",57
"774","0","3","male",NA
"775","1","2","female",54
"776","0","3","male",18
"777","0","3","male",NA
"778","1","3","female",5
"779","0","3","male",NA
"780","1","1","female",43
"781","1","3","female",13
"782","1","1","female",17
"783","0","1","male",29
"784","0","3","male",NA
"785","0","3","male",25
"786","0","3","male",25
"787","1","3","female",18
"788","0","3","male",8
"789","1","3","male",1
"790","0","1","male",46
"791","0","3","male",NA
"792","0","2","male",16
"793","0","3","female",NA
"794","0","1","male",NA
"795","0","3","male",25
"796","0","2","male",39
"797","1","1","female",49
"798","1","3","female",31
"799","0","3","male",30
"800","0","3","female",30
"801","0","2","male",34
"802","1","2","female",31
"803","1","1","male",11
"804","1","3","male",0.42
"805","1","3","male",27
"806","0","3","male",31
"807","0","1","male",39
"808","0","3","female",18
"809","0","2","male",39
"810","1","1","female",33
"811","0","3","male",26
"812","0","3","male",39
"813","0","2","male",35
"814","0","3","female",6
"815","0","3","male",30.5
"816","0","1","male",NA
"817","0","3","female",23
"818","0","2","male",31
"819","0","3","male",43
"820","0","3","male",10
"821","1","1","female",52
"822","1","3","male",27
"823","0","1","male",38
"824","1","3","female",27
"825","0","3","male",2
"826","0","3","male",NA
"827","0","3","male",NA
"828","1","2","male",1
"829","1","3","male",NA
"830","1","1","female",62
"831","1","3","female",15
"832","1","2","male",0.83
"833","0","3","male",NA
"834","0","3","male",23
"835","0","3","male",18
"836","1","1","female",39
"837","0","3","male",21
"838","0","3","male",NA
"839","1","3","male",32
"840","1","1","male",NA
"841","0","3","male",20
"842","0","2","male",16
"843","1","1","female",30
"844","0","3","male",34.5
"845","0","3","male",17
"846","0","3","male",42
"847","0","3","male",NA
"848","0","3","male",35
"849","0","2","male",28
"850","1","1","female",NA
"851","0","3","male",4
"852","0","3","male",74
"853","0","3","female",9
"854","1","1","female",16
"855","0","2","female",44
"856","1","3","female",18
"857","1","1","female",45
"858","1","1","male",51
"859","1","3","female",24
"860","0","3","male",NA
"861","0","3","male",41
"862","0","2","male",21
"863","1","1","female",48
"864","0","3","female",NA
"865","0","2","male",24
"866","1","2","female",42
"867","1","2","female",27
"868","0","1","male",31
"869","0","3","male",NA
"870","1","3","male",4
"871","0","3","male",26
"872","1","1","female",47
"873","0","1","male",33
"874","0","3","male",47
"875","1","2","female",28
"876","1","3","female",15
"877","0","3","male",20
"878","0","3","male",19
"879","0","3","male",NA
"880","1","1","female",56
"881","1","2","female",25
"882","0","3","male",33
"883","0","3","female",22
"884","0","2","male",28
"885","0","3","male",25
"886","0","3","female",39
"887","0","2","male",27
"888","1","1","female",19
"889","0","3","female",NA
"890","1","1","male",26
"891","0","3","male",32
"892",NA,"3","male",34.5
"893",NA,"3","female",47
"894",NA,"2","male",62
"895",NA,"3","male",27
"896",NA,"3","female",22
"897",NA,"3","male",14
"898",NA,"3","female",30
"899",NA,"2","male",26
"900",NA,"3","female",18
"901",NA,"3","male",21
"902",NA,"3","male",NA
"903",NA,"1","male",46
"904",NA,"1","female",23
"905",NA,"2","male",63
"906",NA,"1","female",47
"907",NA,"2","female",24
"908",NA,"2","male",35
"909",NA,"3","male",21
"910",NA,"3","female",27
"911",NA,"3","female",45
"912",NA,"1","male",55
"913",NA,"3","male",9
"914",NA,"1","female",NA
"915",NA,"1","male",21
"916",NA,"1","female",48
"917",NA,"3","male",50
"918",NA,"1","female",22
"919",NA,"3","male",22.5
"920",NA,"1","male",41
"921",NA,"3","male",NA
"922",NA,"2","male",50
"923",NA,"2","male",24
"924",NA,"3","female",33
"925",NA,"3","female",NA
"926",NA,"1","male",30
"927",NA,"3","male",18.5
"928",NA,"3","female",NA
"929",NA,"3","female",21
"930",NA,"3","male",25
"931",NA,"3","male",NA
"932",NA,"3","male",39
"933",NA,"1","male",NA
"934",NA,"3","male",41
"935",NA,"2","female",30
"936",NA,"1","female",45
"937",NA,"3","male",25
"938",NA,"1","male",45
"939",NA,"3","male",NA
"940",NA,"1","female",60
"941",NA,"3","female",36
"942",NA,"1","male",24
"943",NA,"2","male",27
"944",NA,"2","female",20
"945",NA,"1","female",28
"946",NA,"2","male",NA
"947",NA,"3","male",10
"948",NA,"3","male",35
"949",NA,"3","male",25
"950",NA,"3","male",NA
"951",NA,"1","female",36
"952",NA,"3","male",17
"953",NA,"2","male",32
"954",NA,"3","male",18
"955",NA,"3","female",22
"956",NA,"1","male",13
"957",NA,"2","female",NA
"958",NA,"3","female",18
"959",NA,"1","male",47
"960",NA,"1","male",31
"961",NA,"1","female",60
"962",NA,"3","female",24
"963",NA,"3","male",21
"964",NA,"3","female",29
"965",NA,"1","male",28.5
"966",NA,"1","female",35
"967",NA,"1","male",32.5
"968",NA,"3","male",NA
"969",NA,"1","female",55
"970",NA,"2","male",30
"971",NA,"3","female",24
"972",NA,"3","male",6
"973",NA,"1","male",67
"974",NA,"1","male",49
"975",NA,"3","male",NA
"976",NA,"2","male",NA
"977",NA,"3","male",NA
"978",NA,"3","female",27
"979",NA,"3","female",18
"980",NA,"3","female",NA
"981",NA,"2","male",2
"982",NA,"3","female",22
"983",NA,"3","male",NA
"984",NA,"1","female",27
"985",NA,"3","male",NA
"986",NA,"1","male",25
"987",NA,"3","male",25
"988",NA,"1","female",76
"989",NA,"3","male",29
"990",NA,"3","female",20
"991",NA,"3","male",33
"992",NA,"1","female",43
"993",NA,"2","male",27
"994",NA,"3","male",NA
"995",NA,"3","male",26
"996",NA,"3","female",16
"997",NA,"3","male",28
"998",NA,"3","male",21
"999",NA,"3","male",NA
"1000",NA,"3","male",NA
"1001",NA,"2","male",18.5
"1002",NA,"2","male",41
"1003",NA,"3","female",NA
"1004",NA,"1","female",36
"1005",NA,"3","female",18.5
"1006",NA,"1","female",63
"1007",NA,"3","male",18
"1008",NA,"3","male",NA
"1009",NA,"3","female",1
"1010",NA,"1","male",36
"1011",NA,"2","female",29
"1012",NA,"2","female",12
"1013",NA,"3","male",NA
"1014",NA,"1","female",35
"1015",NA,"3","male",28
"1016",NA,"3","male",NA
"1017",NA,"3","female",17
"1018",NA,"3","male",22
"1019",NA,"3","female",NA
"1020",NA,"2","male",42
"1021",NA,"3","male",24
"1022",NA,"3","male",32
"1023",NA,"1","male",53
"1024",NA,"3","female",NA
"1025",NA,"3","male",NA
"1026",NA,"3","male",43
"1027",NA,"3","male",24
"1028",NA,"3","male",26.5
"1029",NA,"2","male",26
"1030",NA,"3","female",23
"1031",NA,"3","male",40
"1032",NA,"3","female",10
"1033",NA,"1","female",33
"1034",NA,"1","male",61
"1035",NA,"2","male",28
"1036",NA,"1","male",42
"1037",NA,"3","male",31
"1038",NA,"1","male",NA
"1039",NA,"3","male",22
"1040",NA,"1","male",NA
"1041",NA,"2","male",30
"1042",NA,"1","female",23
"1043",NA,"3","male",NA
"1044",NA,"3","male",60.5
"1045",NA,"3","female",36
"1046",NA,"3","male",13
"1047",NA,"3","male",24
"1048",NA,"1","female",29
"1049",NA,"3","female",23
"1050",NA,"1","male",42
"1051",NA,"3","female",26
"1052",NA,"3","female",NA
"1053",NA,"3","male",7
"1054",NA,"2","female",26
"1055",NA,"3","male",NA
"1056",NA,"2","male",41
"1057",NA,"3","female",26
"1058",NA,"1","male",48
"1059",NA,"3","male",18
"1060",NA,"1","female",NA
"1061",NA,"3","female",22
"1062",NA,"3","male",NA
"1063",NA,"3","male",27
"1064",NA,"3","male",23
"1065",NA,"3","male",NA
"1066",NA,"3","male",40
"1067",NA,"2","female",15
"1068",NA,"2","female",20
"1069",NA,"1","male",54
"1070",NA,"2","female",36
"1071",NA,"1","female",64
"1072",NA,"2","male",30
"1073",NA,"1","male",37
"1074",NA,"1","female",18
"1075",NA,"3","male",NA
"1076",NA,"1","female",27
"1077",NA,"2","male",40
"1078",NA,"2","female",21
"1079",NA,"3","male",17
"1080",NA,"3","female",NA
"1081",NA,"2","male",40
"1082",NA,"2","male",34
"1083",NA,"1","male",NA
"1084",NA,"3","male",11.5
"1085",NA,"2","male",61
"1086",NA,"2","male",8
"1087",NA,"3","male",33
"1088",NA,"1","male",6
"1089",NA,"3","female",18
"1090",NA,"2","male",23
"1091",NA,"3","female",NA
"1092",NA,"3","female",NA
"1093",NA,"3","male",0.33
"1094",NA,"1","male",47
"1095",NA,"2","female",8
"1096",NA,"2","male",25
"1097",NA,"1","male",NA
"1098",NA,"3","female",35
"1099",NA,"2","male",24
"1100",NA,"1","female",33
"1101",NA,"3","male",25
"1102",NA,"3","male",32
"1103",NA,"3","male",NA
"1104",NA,"2","male",17
"1105",NA,"2","female",60
"1106",NA,"3","female",38
"1107",NA,"1","male",42
"1108",NA,"3","female",NA
"1109",NA,"1","male",57
"1110",NA,"1","female",50
"1111",NA,"3","male",NA
"1112",NA,"2","female",30
"1113",NA,"3","male",21
"1114",NA,"2","female",22
"1115",NA,"3","male",21
"1116",NA,"1","female",53
"1117",NA,"3","female",NA
"1118",NA,"3","male",23
"1119",NA,"3","female",NA
"1120",NA,"3","male",40.5
"1121",NA,"2","male",36
"1122",NA,"2","male",14
"1123",NA,"1","female",21
"1124",NA,"3","male",21
"1125",NA,"3","male",NA
"1126",NA,"1","male",39
"1127",NA,"3","male",20
"1128",NA,"1","male",64
"1129",NA,"3","male",20
"1130",NA,"2","female",18
"1131",NA,"1","female",48
"1132",NA,"1","female",55
"1133",NA,"2","female",45
"1134",NA,"1","male",45
"1135",NA,"3","male",NA
"1136",NA,"3","male",NA
"1137",NA,"1","male",41
"1138",NA,"2","female",22
"1139",NA,"2","male",42
"1140",NA,"2","female",29
"1141",NA,"3","female",NA
"1142",NA,"2","female",0.92
"1143",NA,"3","male",20
"1144",NA,"1","male",27
"1145",NA,"3","male",24
"1146",NA,"3","male",32.5
"1147",NA,"3","male",NA
"1148",NA,"3","male",NA
"1149",NA,"3","male",28
"1150",NA,"2","female",19
"1151",NA,"3","male",21
"1152",NA,"3","male",36.5
"1153",NA,"3","male",21
"1154",NA,"2","female",29
"1155",NA,"3","female",1
"1156",NA,"2","male",30
"1157",NA,"3","male",NA
"1158",NA,"1","male",NA
"1159",NA,"3","male",NA
"1160",NA,"3","female",NA
"1161",NA,"3","male",17
"1162",NA,"1","male",46
"1163",NA,"3","male",NA
"1164",NA,"1","female",26
"1165",NA,"3","female",NA
"1166",NA,"3","male",NA
"1167",NA,"2","female",20
"1168",NA,"2","male",28
"1169",NA,"2","male",40
"1170",NA,"2","male",30
"1171",NA,"2","male",22
"1172",NA,"3","female",23
"1173",NA,"3","male",0.75
